,equity
2021-02-01,160901.81462840742
2021-02-02,163904.66826896375
2021-02-03,162716.8357789964
2021-02-04,165063.66423968977
2021-02-05,166205.8690422029
2021-02-08,168678.94944839185
2021-02-09,168823.1134756059
2021-02-10,168624.50559882825
2021-02-11,171020.98565177625
2021-02-12,172886.83889751142
2021-02-16,171994.57165698713
2021-02-17,170728.8242757768
2021-02-18,168815.0442178697
2021-02-19,170701.62220363325
2021-02-22,166001.78955249494
2021-02-23,165501.9929273576
2021-02-24,167894.48929767316
2021-02-25,162493.7229402513
2021-02-26,164125.55520801252
2021-03-01,168959.2545742452
2021-03-02,165379.61581558583
2021-03-03,160649.3785490453
2021-03-04,155621.3858045995
2021-03-05,157355.72409767506
2021-03-08,153088.4018272817
2021-03-09,158571.66850418446
2021-03-10,158783.20465320942
2021-03-11,164105.48610920308
2021-03-12,163312.80791897175
2021-03-15,165486.20158523915
2021-03-16,165024.26840824482
2021-03-17,165490.55085319874
2021-03-18,161593.58965057728
2021-03-19,163753.07659668324
2021-03-22,165366.41027588246
2021-03-23,162189.8364004552
2021-03-24,159171.70190185902
2021-03-25,159832.64221042988
2021-03-26,163332.83316940663
2021-03-29,160600.5449652135
2021-03-30,161765.5672373235
2021-03-31,164665.38298744557
2021-04-01,167864.16946455542
2021-04-05,168033.12515684668
2021-04-06,169580.41358610694
2021-04-07,168426.91898199622
2021-04-08,169039.71449324195
2021-04-09,169629.45709654395
2021-04-12,169252.40070005957
2021-04-13,169136.73517557685
2021-04-14,170685.62001654212
2021-04-15,170708.27438017432
2021-04-16,171121.7171940476
2021-04-19,169135.00184675757
2021-04-20,164679.73557707373
2021-04-21,168710.6024460465
2021-04-22,167786.09948774878
2021-04-23,171285.16537138526
2021-04-26,173815.263119188
2021-04-27,174771.97183844153
2021-04-28,175383.69408842627
2021-04-29,174937.94072767798
2021-04-30,172945.02873846595
2021-05-03,174176.39805903845
2021-05-04,172825.01736274175
2021-05-05,174770.8974038642
2021-05-06,174683.43808665685
2021-05-07,178832.3177968543
2021-05-10,175766.68243136816
2021-05-11,174169.61231723242
2021-05-12,167771.1745425742
2021-05-13,169960.08925261907
2021-05-14,174137.48293319158
2021-05-17,174030.58910003118
2021-05-18,172001.81506267004
2021-05-19,170390.5182038825
2021-05-20,172549.9914733451
2021-05-21,172942.61915603094
2021-05-24,174823.71818843298
2021-05-25,174096.9111463111
2021-05-26,176202.97374167852
2021-05-27,178631.6287147086
2021-05-28,178003.54695620947
2021-06-01,179455.33446331526
2021-06-02,178451.2950021794
2021-06-03,177385.49514599348
2021-06-04,178289.22210331465
2021-06-07,178437.28171940352
2021-06-08,179609.5213453343
2021-06-09,177423.26314182783
2021-06-10,176772.4739801457
2021-06-11,178245.5332243016
2021-06-14,176001.9019414952
2021-06-15,176352.2572500279
2021-06-16,175941.8332292607
2021-06-17,172713.67024059797
2021-06-18,169986.98095150496
2021-06-21,174407.72925968672
2021-06-22,175314.2257844975
2021-06-23,176374.70762463118
2021-06-24,178383.0482809117
2021-06-25,179045.80229397322
2021-06-28,178456.91543217207
2021-06-29,178491.37469692732
2021-06-30,179402.02186413313
2021-07-01,180349.41288575568
2021-07-02,179730.9707995359
2021-07-06,176214.0878420774
2021-07-07,175525.79930028357
2021-07-08,173391.85484990515
2021-07-09,178075.94701203742
2021-07-12,180112.34749516883
2021-07-13,177659.44414529242
2021-07-14,175458.04151162543
2021-07-15,174429.012576193
2021-07-16,171000.59905633368
2021-07-19,167773.455812544
2021-07-20,173093.38001546302
2021-07-21,177049.51925858893
2021-07-22,175511.7100830976
2021-07-23,176369.578856558
2021-07-26,177733.6734639112
2021-07-27,175938.8299628202
2021-07-28,177314.00924596228
2021-07-29,179407.5945292417
2021-07-30,179008.86897763648
2021-08-02,178064.86437074555
2021-08-03,180748.38987771882
2021-08-04,178746.9716943921
2021-08-05,181643.71295492066
2021-08-06,183070.49684469117
2021-08-09,183487.38115064515
2021-08-10,185687.2463792981
2021-08-11,186904.23718110932
2021-08-12,187503.07180539978
2021-08-13,185514.68230001343
2021-08-16,182996.22680799378
2021-08-17,179278.5726589383
2021-08-18,177923.3130754651
2021-08-19,174806.5107378186
2021-08-20,176575.1897014798
2021-08-23,180422.70995180024
2021-08-24,183148.1691230954
2021-08-25,185166.9187626065
2021-08-26,183215.37852422608
2021-08-27,187020.01989309205
2021-08-30,185264.0400280179
2021-08-31,184553.71692125214
2021-09-01,183575.5143434201
2021-09-02,185254.3997737561
2021-09-03,184756.5353414212
2021-09-07,183531.01083771331
2021-09-08,181677.03618351562
2021-09-09,182946.68649117096
2021-09-10,182293.6848451291
2021-09-13,183138.1620532666
2021-09-14,181651.14478031738
2021-09-15,185505.676066557
2021-09-16,185262.8109847699
2021-09-17,183589.45131031616
2021-09-20,178365.17655579193
2021-09-21,178186.40608517273
2021-09-22,182076.36741081817
2021-09-23,186295.23347488983
2021-09-24,185869.1009265576
2021-09-27,187787.35973373993
2021-09-28,184153.187703291
2021-09-29,182944.96097675903
2021-09-30,180317.4917337094
2021-10-01,182572.53234175255
2021-10-04,180209.93827894737
2021-10-05,182611.01618841698
2021-10-06,181616.77057722618
2021-10-07,184043.59175566246
2021-10-08,183644.20778158715
2021-10-11,183307.36490133812
2021-10-12,184260.3451774459
2021-10-13,185005.02014425804
2021-10-14,188517.57640341332
2021-10-15,189682.64780691674
2021-10-18,191726.29831389
2021-10-19,192608.2093208175
2021-10-20,193516.9028098922
2021-10-21,193290.3659599166
2021-10-22,193891.26599768212
2021-10-25,195543.31876829674
2021-10-26,195292.31219557335
2021-10-27,192998.59751585533
2021-10-28,196482.57775381615
2021-10-29,196619.86842802574
2021-11-01,199230.98820643517
2021-11-02,198522.91568904015
2021-11-03,199259.1722960958
2021-11-04,198489.86138110253
2021-11-05,200575.82224612328
2021-11-08,202004.89165072533
2021-11-09,200614.64211039635
2021-11-10,196098.6504111776
2021-11-11,197950.2355800161
2021-11-12,198205.17066722008
2021-11-15,197781.77165942284
2021-11-16,197795.58000521752
2021-11-17,195121.9441562185
2021-11-18,195402.43975787255
2021-11-19,192334.30730586144
2021-11-22,193857.91151576134
2021-11-23,195848.9553771505
2021-11-24,196661.7145190725
2021-11-26,190026.7178454885
2021-11-29,191936.8432212362
2021-11-30,186199.55975298973
2021-12-01,182663.225879492
2021-12-02,186784.15114385053
2021-12-03,183021.2013872282
2021-12-06,183349.9412992613
2021-12-07,189260.25822049542
2021-12-08,189628.72194081708
2021-12-09,186833.7145212309
2021-12-10,187871.0469720976
2021-12-13,184677.13369542523
2021-12-14,183163.58685285016
2021-12-15,185414.8063772337
2021-12-16,184410.73549825116
2021-12-17,183099.28052884503
2021-12-20,179263.7982118742
2021-12-21,184533.29768735333
2021-12-22,186556.3820703642
2021-12-23,187651.1456869261
2021-12-27,191386.0760610716
2021-12-28,190051.45176488324
2021-12-29,189755.29928952619
2021-12-30,189032.79898625775
2021-12-31,189035.91113072797
2022-01-03,189196.8044890496
2022-01-04,190801.9189986321
2022-01-05,185257.53588477103
