,equity
2012-12-13,161078.23834676936
2012-12-14,160699.5751883526
2012-12-17,163410.78475160792
2012-12-18,165763.08111925318
2012-12-19,165084.91228933528
2012-12-20,166113.36811132624
2012-12-21,164395.23880262568
2012-12-24,164561.45144911006
2012-12-26,163647.2016589184
2012-12-27,163680.2074553509
2012-12-28,162225.27188177302
2012-12-31,165663.85877199366
2013-01-02,170479.45786796743
2013-01-03,169470.49522052938
2013-01-04,170359.38211380178
2013-01-07,170047.34369980032
2013-01-08,170003.00524460012
2013-01-09,171456.5866159075
2013-01-10,171905.45541320974
2013-01-11,171644.0692571276
2013-01-14,171682.10707412893
2013-01-15,171963.0546487444
2013-01-16,172222.95783363516
2013-01-17,174305.58320175344
2013-01-18,174585.0144685381
2013-01-22,175414.4090970629
2013-01-23,175903.71687256033
2013-01-24,176540.92910133535
2013-01-25,178281.50786148245
2013-01-28,177236.2511457079
2013-01-29,178106.78271423513
2013-01-30,176988.8378518694
2013-01-31,176188.0558999651
2013-02-01,178123.47921039586
2013-02-04,175759.20057441716
2013-02-05,177252.9982314301
2013-02-06,177381.4700484467
2013-02-07,176415.37631561284
2013-02-08,177687.92559291844
2013-02-11,177372.71678974156
2013-02-12,178358.29590942388
2013-02-13,179008.8665623856
2013-02-14,179945.37083770757
2013-02-15,179945.56449939733
2013-02-19,180262.17294265752
2013-02-20,175701.3728308869
2013-02-21,174663.8527350617
2013-02-22,177136.29197456365
2013-02-25,173177.16540481572
2013-02-26,175618.97118999486
2013-02-27,178521.06838371282
2013-02-28,178849.86913730626
2013-03-01,179992.99041190965
2013-03-04,182217.65325179917
2013-03-05,184177.29627147538
2013-03-06,184091.02905383927
2013-03-07,183967.8973838411
2013-03-08,184971.43204418046
2013-03-11,185145.82724490983
2013-03-12,184576.64809528214
2013-03-13,184851.1334411226
2013-03-14,186063.41169563157
2013-03-15,185159.96583858354
2013-03-18,184927.7662355028
2013-03-19,185035.08813110215
2013-03-20,187366.1193086229
2013-03-21,185216.0893031679
2013-03-22,186155.5107175432
2013-03-25,185428.05411926133
2013-03-26,186692.14571014268
2013-03-27,186987.3199903093
2013-03-28,187906.21939578874
2013-04-01,186744.8652396865
2013-04-02,186222.38314206077
2013-04-03,182930.41656834556
2013-04-04,184046.54911095573
2013-04-05,184082.23946625664
2013-04-08,185819.04481179191
2013-04-09,185955.4637284942
2013-04-10,187418.42404038383
2013-04-11,188832.58964211418
2013-04-12,188504.08927590324
2013-04-15,182073.76907116844
2013-04-16,185955.0676255889
