date,n_eligible,n_selected,n_orders,turnover_dollars,leverage_multiplier,equity_at_open
2020-09-28,10,7,8,76846.05727166665,1.0,259234.72421500526
2020-10-05,10,7,9,128433.10470138323,1.0,237986.65673211563
2020-10-12,10,7,7,6023.532633272339,1.0,249521.74377048732
2020-10-19,11,7,8,72430.00418508358,1.0,245917.62950405915
2020-10-26,12,7,7,11876.06626966793,1.0,269406.36131808936
2020-11-02,13,7,9,145421.1361080909,1.0,261959.67692739618
2020-11-09,13,7,7,38835.07715704222,1.0,306610.53318384127
2020-11-16,13,7,9,175013.0758402489,1.0,310007.35096247063
2020-11-23,13,7,9,212554.89317863146,1.0,364645.687060503
2020-11-30,13,7,8,124596.14478829401,1.0,379695.95411283104
2020-12-07,13,7,7,25592.814841341635,1.0,413421.7208193968
2020-12-14,13,7,8,119715.74272259657,1.0,388281.7941458035
2020-12-21,13,7,9,254550.67219326188,1.0,434137.45534017304
2020-12-28,13,7,8,120320.03895185929,1.0,416341.6431673071
2021-01-04,13,7,8,171001.12889879188,1.0,533713.260319758
2021-01-11,13,7,9,438332.0689759663,1.0,694241.4082347659
2021-01-18,13,7,10,657018.4433573207,1.0,748613.3893484463
2021-01-25,13,7,7,111589.13758498114,1.0,839096.204149455
2021-02-01,14,7,9,524305.7410345337,1.0,920246.5581390857
2021-02-08,14,7,8,500803.07758812606,1.0,1368259.5139292083
2021-02-15,14,7,8,652680.2382973507,1.0,1593852.4925243754
2021-02-22,14,7,7,332543.58021680126,1.0,1763215.499532977
2021-03-01,14,7,9,964348.3454985066,1.0,1490003.4005223443
2021-03-08,14,7,9,1044766.2815174985,1.0,1716133.560372533
2021-03-15,14,7,9,1035165.8328602479,1.0,1779732.2672453292
2021-03-22,14,7,9,955283.3188293643,1.0,1739251.0276582344
2021-03-29,14,7,9,1019558.020388955,1.0,1713889.8356166598
2021-04-05,14,7,9,1170447.856762227,1.0,1952862.9721420547
2021-04-12,14,7,10,2057929.2127763107,1.0,2351730.54149985
2021-04-19,14,7,9,3066130.092356728,1.0,3698648.235240656
2021-04-26,14,7,8,1543448.384781809,1.0,3445178.8303255797
2021-05-03,14,7,8,1517774.7257922455,1.0,4398435.765434281
2021-05-10,14,7,9,3208740.404344884,1.0,5136292.925740275
2021-05-17,14,7,9,2526540.5579665895,1.0,4502638.913414972
2021-05-24,14,7,9,1817072.9592604442,0.5,2565666.8452263214
2021-05-31,14,7,9,843152.567369218,0.5,2705937.916662047
2021-06-07,14,7,10,1213429.6354512945,0.5,2819398.3483287836
2021-06-14,14,7,9,775348.6058814093,0.5,2713317.5392238097
2021-06-21,14,7,9,716081.7596141527,0.5,2567485.976322539
2021-06-28,14,7,10,953012.4527529592,0.5,2402406.5565789584
2021-07-05,14,7,9,718445.1773170965,0.5,2476992.4806568106
2021-07-12,14,7,10,986101.1894379533,0.5,2426299.9527594815
2021-07-19,14,7,7,80020.66957378085,0.5,2268731.386283624
2021-07-26,14,7,7,56344.69032579547,0.5,2372459.914239162
2021-08-02,15,7,9,763720.0775790551,0.5,2525715.4074866767
2021-08-09,15,7,9,812351.1031564939,0.5,2673141.136188047
2021-08-16,15,7,9,945570.0957369917,0.5,2947327.3191076163
2021-08-23,15,7,9,932362.2795295414,0.5,3016130.905047258
2021-08-30,15,7,8,549281.986184437,0.5,2996012.1263499437
2021-09-06,15,7,8,637761.6240026689,0.5,3291068.6825718773
2021-09-13,15,7,9,1014084.8345425925,0.5,3255009.2183974856
2021-09-20,15,7,8,521927.03852890094,0.5,3209155.41633725
2021-09-27,14,7,8,457171.1073126731,0.5,3052413.2225870993
2021-10-04,14,7,7,104997.1029206797,0.5,3226040.3845255533
2021-10-11,14,7,9,924307.5499467993,0.5,3172647.0373070696
2021-10-18,14,7,9,986368.6151637805,0.5,3285442.3392758737
2021-10-25,15,7,9,975299.2292555596,0.5,3351182.723954606
2021-11-01,15,7,8,483076.57270570647,0.5,3382237.6090998333
2021-11-08,15,7,10,1516097.4711079975,0.5,3529211.39757199
2021-11-15,15,7,8,512777.54895503994,0.5,3515656.442848157
2021-11-22,14,7,8,620041.1666826908,0.5,3450071.1176725468
2021-11-29,15,7,9,954449.9792035242,0.5,3317911.0943166944
2021-12-06,15,7,8,497846.0229816528,0.5,3054126.9684944875
2021-12-13,15,7,8,463794.89611497155,0.5,3031296.881340344
