,equity
2024-08-02,241327.89840186742
2024-08-03,234954.32433874242
2024-08-04,223751.19351896195
2024-08-05,212314.00646973719
2024-08-06,221240.92233671946
2024-08-07,223359.8285123342
2024-08-08,239303.5922236059
2024-08-09,232897.50772880448
2024-08-10,232487.13821291475
2024-08-11,223106.7550458741
2024-08-12,231065.00717713227
2024-08-13,232202.06368877154
2024-08-14,230634.13611887093
2024-08-15,228967.21332913503
2024-08-16,231015.26372581697
2024-08-17,232272.6952921431
2024-08-18,230493.72795331123
2024-08-19,235483.79175951323
2024-08-20,237244.81837166744
2024-08-21,242390.91610202257
2024-08-22,240214.6465193836
2024-08-23,250214.72283207806
2024-08-24,250188.9782001736
2024-08-25,247242.88700434144
2024-08-26,239481.65581144666
2024-08-27,229339.46741886507
2024-08-28,230841.8654115242
2024-08-29,228340.5943000737
2024-08-30,231656.98505692845
2024-08-31,230203.32808455193
2024-09-01,222330.2411574978
2024-09-02,230571.90451287356
2024-09-03,221842.07504922393
2024-09-04,227934.02255064913
2024-09-05,223712.27288390158
2024-09-06,218255.2613080469
2024-09-07,218966.03737547225
2024-09-08,221694.4895919866
2024-09-09,229010.3439683858
2024-09-10,231958.19283374888
2024-09-11,229752.83812524634
2024-09-12,231370.07334401653
2024-09-13,236196.6461270134
2024-09-14,234563.9959697062
2024-09-15,229899.32024611143
2024-09-16,225923.2556686446
2024-09-17,226576.13292265066
2024-09-18,229424.3787770648
2024-09-19,236131.0921621533
2024-09-20,239262.95364554715
2024-09-21,243088.45847331118
2024-09-22,240284.69325001785
2024-09-23,241754.33510688914
2024-09-24,243109.99371234165
2024-09-25,239612.64364665045
2024-09-26,247013.59052218383
2024-09-27,252486.4672755404
2024-09-28,250639.10383939257
2024-09-29,250085.0395140919
2024-09-30,241193.31098499632
2024-10-01,229972.53754190958
2024-10-02,222543.74834724749
2024-10-03,220348.4768869095
2024-10-04,227731.44963757996
2024-10-05,226782.42520356516
2024-10-06,231194.71728326855
2024-10-07,227842.09368292725
2024-10-08,225246.52033644108
2024-10-09,221616.15654272996
2024-10-10,221144.69606638383
2024-10-11,228497.84378971628
2024-10-12,233311.19086302383
2024-10-13,233173.27811649596
2024-10-14,241600.18657534773
2024-10-15,238436.5906382437
2024-10-16,239522.35047880618
2024-10-17,237265.1126135431
2024-10-18,243539.69544690516
2024-10-19,245875.57790661644
2024-10-20,249865.5933039494
2024-10-21,246971.35061412622
2024-10-22,246087.95150811394
2024-10-23,244465.85426034976
2024-10-24,250697.68521838292
2024-10-25,239177.99210046142
2024-10-26,242085.94770037444
